postcode,suburb,state,lat,lng
0200,ANU,ACT,-35.27770,149.11900
0200,Australian National University,ACT,-35.27770,149.11853
0800,DARWIN,NT,-12.39328,130.77666
0800,DARWIN CITY,NT,-12.39328,130.77666
0801,DARWIN,NT,-12.46344,130.84564
0803,WAGAIT BEACH,NT,-12.43399,130.74591
0804,PARAP,NT,-12.43248,130.84625
0810,ALAWA,NT,-12.38000,130.87300
0810,BRINKIN,NT,-12.37000,130.86700
0810,CASUARINA,NT,-12.37333,130.88167
0810,COCONUT GROVE,NT,-12.39890,130.85200
0810,JINGILI,NT,-12.38667,130.87528
0810,LEE POINT,NT,-12.33944,130.89306
0810,LYONS,NT,-12.36030,130.88900
0810,MILLNER,NT,-12.39111,130.86321
0810,MOIL,NT,-12.38889,130.87917
0810,MUIRHEAD,NT,-12.35830,130.89600
0810,NAKARA,NT,-12.36944,130.87806
0810,NIGHTCLIFF,NT,-12.38300,130.84900
0810,RAPID CREEK,NT,-12.38083,130.86222
0810,TIWI,NT,-12.36333,130.88028
0810,WAGAMAN,NT,-12.38250,130.88500
0810,WANGURI,NT,-12.37250,130.88778
0811,CASUARINA,NT,-12.37333,130.88167
0812,ANULA,NT,-12.39280,130.89000
0812,BUFFALO CREEK,NT,-12.34640,130.92100
0812,HOLMES,NT,-12.39610,130.92100
0812,KARAMA,NT,-12.40107,130.91689
0812,LEANYER,NT,-12.37944,130.89750
0812,MALAK,NT,-12.39300,130.90400
0812,MARRARA,NT,-12.39833,130.88000
0812,NORTHLAKES,NT,-12.39580,130.89500
0812,SANDERSON,NT,-12.38890,130.89800
0812,WOODLEIGH GARDENS,NT,-12.37940,130.89800
0812,WULAGI,NT,-12.38444,130.89306
0813,KARAMA,NT,-19.49140,132.55100
0813,SANDERSON,NT,-19.49140,132.55100
0814,NIGHTCLIFF,NT,-12.38300,130.84900
0815,CHARLES DARWIN UNIVERSITY,NT,-12.37180,130.86900
0820,BAGOT,NT,-12.41149,130.85541
0820,BAYVIEW,NT,-12.44031,130.86016
0820,CHARLES DARWIN,NT,-12.43592,130.87865
0820,COONAWARRA,NT,-12.42972,130.91167
0820,CULLEN BAY,NT,-12.45332,130.82507
0820,DARWIN DC,NT,-12.46340,130.84600
0820,DARWIN INTERNATIONAL AIRPORT,NT,-12.41540,130.88300
0820,DARWIN MC,NT,-12.39640,130.90400
0820,EAST POINT,NT,-12.41083,130.82222
0820,EATON,NT,-12.42560,130.86500
0820,FANNIE BAY,NT,-12.42500,130.83639
0820,LARRAKEYAH,NT,-12.45861,130.82167
0820,LUDMILLA,NT,-12.41452,130.85005
0820,PARAP,NT,-12.43248,130.84625
0820,RAAF BASE DARWIN,NT,-12.42530,130.86400
0820,STUART PARK,NT,-12.44861,130.84167
0820,THE GARDENS,NT,-12.44861,130.83639
0820,THE NARROWS,NT,-12.42778,130.86056
0820,WINNELLIE,NT,-12.42889,130.86972
0820,WOOLNER,NT,-12.43778,130.84750
0821,WINNELLIE,NT,-12.42889,130.86972
0822,ACACIA HILLS,NT,-12.75415,131.14894
0822,ANGURUGU,NT,-13.98120,136.46100
0822,ANINDILYAKWA,NT,-13.86100,136.44100
0822,ANNIE RIVER,NT,-14.49420,143.75100
0822,BATHURST ISLAND,NT,-11.73650,130.43100
0822,BEES CREEK,NT,-12.55528,131.05910
0822,BELYUEN,NT,-12.53820,130.68300
0822,BLACK JUNGLE,NT,-12.52330,131.20700
0822,BLACKMORE,NT,-12.74100,130.93300
0822,BORDER STORE,NT,-12.42440,132.96400
0822,BURRUNDIE,NT,-13.45110,131.38700
0822,BYNOE,NT,-12.80060,130.61300
0822,BYNOE HARBOUR,NT,-12.66050,130.58700
0822,CAMP CREEK,NT,-13.17350,130.93200
0822,CHANNEL ISLAND,NT,-12.55320,130.86600
0822,CHARLES DARWIN,NT,-12.43590,130.87900
0822,CHARLOTTE,NT,-12.71520,130.88600
0822,CLARAVALE,NT,-14.49560,131.35300
0822,COBOURG,NT,-11.39520,132.26800
0822,COLLETT CREEK,NT,-12.86280,130.95000
0822,COOMALIE CREEK,NT,-13.06030,131.10600
0822,COX PENINSULA,NT,-12.44703,130.74128
0822,CROKER ISLAND,NT,-11.17640,132.53100
0822,DALY,NT,-12.43556,130.74806
0822,DALY RIVER,NT,-13.71282,130.68720
0822,DARWIN MC,NT,-12.45810,130.84000
0822,DARWIN RIVER DAM,NT,-12.89470,131.14000
0822,DELISSAVILLE,NT,-12.53820,130.68300
0822,DOUGLAS-DALY,NT,-13.80050,131.34400
0822,EAST ARM,NT,-12.47940,130.91400
0822,EAST ARNHEM,NT,-12.25350,136.83700
0822,ELRUNDIE,NT,-12.47960,130.96000
0822,EVA VALLEY,NT,-13.12390,131.00700
0822,FINNISS VALLEY,NT,-13.02450,130.94200
0822,FLEMING,NT,-12.43556,130.74806
0822,FLY CREEK,NT,-12.80120,131.06900
0822,FREDS PASS,NT,-12.53980,131.05500
0822,GALIWINKU,NT,-12.02470,135.56800
0822,GLYDE POINT,NT,-12.17970,131.08000
0822,GOULBOURN ISLAND,NT,-11.61400,133.39700
0822,GOULBURN ISLAND,NT,-11.61400,133.39700
0822,GUNBALANYA,NT,-12.32550,133.05500
0822,GUNN POINT,NT,-12.20785,131.03317
0822,HAYES CREEK,NT,-13.58330,131.46000
0822,HIDDEN VALLEY,NT,-12.44470,130.91200
0822,HOTHAM,NT,-12.34400,131.40600
0822,HUGHES,NT,-12.68840,131.10100
0822,KAKADU,NT,-12.66610,132.89400
0822,KOOLPINYAH,NT,-12.32250,131.13800
0822,LAKE BENNETT,NT,-12.95920,131.16500
0822,LAMBELLS LAGOON,NT,-12.57625,131.23943
0822,LITCHFIELD PARK,NT,-13.12920,130.80300
0822,LIVINGSTONE,NT,-12.68290,131.08189
0822,LLOYD CREEK,NT,-12.62080,131.12200
0822,MANDORAH,NT,-12.44490,130.75900
0822,MANINGRIDA,NT,-12.05614,134.23115
0822,MAPURU,NT,-12.43556,130.74806
0822,MARANUNGA,NT,-13.70830,130.70900
0822,MARGARET RIVER,NT,-13.29500,131.19700
0822,MARRAKAI,NT,-12.43556,130.74806
0822,MCMINNS LAGOON,NT,-12.54593,131.07468
0822,MICKET CREEK,NT,-12.36510,130.95230
0822,MICKETT CREEK,NT,-12.40590,130.95500
0822,MIDDLE POINT,NT,-12.56479,131.32528
0822,MILIKAPITI,NT,-12.43556,130.74806
0822,MILINGIMBI,NT,-12.09390,134.89700
0822,MILLWOOD,NT,-11.87640,131.92000
0822,MILYAKBURRA,NT,-13.77930,136.20200
0822,MINJILANG,NT,-11.14830,132.57700
0822,MOUNT BUNDEY,NT,-12.90380,131.67700
0822,MURRUMUJUK,NT,-12.28040,131.06500
0822,NAUIYU,NT,-13.75040,130.68800
0822,NEMARLUK,NT,-14.17390,130.16100
0822,NGANMARRIYANGA,NT,-14.33500,129.88300
0822,NGUIU,NT,-11.76089,130.63306
0822,NUMBULWAR,NT,-14.27620,135.74000
0822,NUMBURINDI,NT,-13.95940,135.79500
0822,OENPELLI,NT,-12.32554,133.05503
0822,PEPPIMENARTI,NT,-14.14570,130.08300
0822,PIRLANGIMPI,NT,-11.39030,130.42100
0822,POINT STEPHENS,NT,-11.87638,131.91965
0822,POINT STUART,NT,-12.57390,131.73200
0822,PULARUMPI,NT,-11.40386,130.41749
0822,PULUMPA,NT,-14.33500,129.88300
0822,RAKULA,NT,-13.12050,130.65700
0822,RAMINGINING,NT,-12.32830,134.92800
0822,ROBIN FALLS,NT,-13.30930,131.14700
0822,RUM JUNGLE,NT,-13.02460,130.96800
0822,SANDPALMS ROADHOUSE,NT,-12.81310,130.61700
0822,SOUTHPORT,NT,-12.72222,130.94917
0822,STAPLETON,NT,-13.20080,130.97600
0822,THAMARRURR,NT,-14.20100,129.64100
0822,TIPPERARY,NT,-13.54000,130.83800
0822,TIVENDALE,NT,-12.46510,130.95100
0822,TIWI ISLANDS,NT,-11.69690,130.87800
0822,TORTILLA FLATS,NT,-13.08450,131.12500
0822,TUMBLING WATERS,NT,-12.76560,130.95600
0822,UMBAKUMBA,NT,-13.86112,136.81161
0822,VERNON ISLANDS,NT,-12.05950,131.09400
0822,VIRGINIA,NT,-12.54830,131.01700
0822,WADEYE,NT,-14.24084,129.52076
0822,WAGAIT BEACH,NT,-12.43556,130.74806
0822,WAK WAK,NT,-12.66190,131.33500
0822,WARRUWI,NT,-11.65790,133.37800
0822,WEDDELL,NT,-12.67336,131.04777
0822,WEST ARNHEM,NT,-12.25620,133.65700
0822,WICKHAM,NT,-12.57330,130.92500
0822,WINNELLIE,NT,-12.42889,130.86972
0822,WISHART,NT,-12.45500,130.93100
0822,WOOLANING,NT,-13.10391,130.66701
0822,WURRUMIYANGA,NT,-11.76090,130.63300
0828,BERRIMAH,NT,-12.43389,130.92278
0828,KNUCKEY LAGOON,NT,-12.42583,130.94222
0829,HOLTZE,NT,-12.45870,130.96100
0829,PINELANDS,NT,-12.45870,130.96100
0830,ARCHER,NT,-12.51640,130.97100
0830,DRIVER,NT,-12.48508,130.97301
0830,DURACK,NT,-12.47508,130.97301
0830,FARRAR,NT,-12.47800,130.99100
0830,GRAY,NT,-12.49221,130.97892
0830,MARLOW LAGOON,NT,-12.49840,130.96452
0830,MOULDEN,NT,-12.51000,130.97600
0830,PALMERSTON,NT,-12.47846,130.98519
0830,SHOAL BAY,NT,-12.41225,130.97162
0830,WOODROFFE,NT,-12.49954,130.98100
0830,YARRAWONGA,NT,-12.47109,130.99012
0831,PALMERSTON,NT,-12.47846,130.98519
0832,BAKEWELL,NT,-12.49870,130.99300
0832,BELLAMACK,NT,-12.51480,130.98100
0832,GUNN,NT,-12.48869,130.99151
0832,JOHNSTON,NT,-12.48640,131.01000
0832,MITCHELL,NT,-12.52910,130.99430
0832,ROSEBERY,NT,-12.50483,130.99182
0832,ROSEBERY HEIGHTS,NT,-12.50183,130.98845
0832,ZUCCOLI,NT,-12.51020,131.00700
0834,VIRGINIA,NT,-12.54050,131.02900
0835,Coolalinga,NT,-12.52420,131.04200
0835,HOWARD SPRINGS,NT,-12.47790,131.06964
0835,VIRGINIA,NT,-12.47790,131.06964
0836,GIRRAWEEN,NT,-12.54232,131.15719
0836,HERBERT,NT,-12.54232,131.15719
0836,HUMPTY DOO,NT,-12.57530,131.10200
0837,MANTON,NT,-12.83160,131.16042
0837,NOONAMAH,NT,-12.63420,131.07400
0838,BERRY SPRINGS,NT,-12.71741,131.01923
